lang_code,lang_name,script,n_docs,n_words,n_tokens,fertility,continuation_rate,bytes_per_token,unk_rate,vocab_coverage,nsl,avg_token_len,grade,model
asm,Assamese,Assamese,1000,201352,524083,2.6028,0.7573,6.25,0.0,0.8854,0.8126,2.0809,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
ben,Bengali,Bengali,1000,222386,463237,2.083,0.5943,8.2471,0.0,0.8854,0.7788,2.6377,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
brx,Bodo,Devanagari,1000,180480,553711,3.068,0.8341,5.8458,0.0,0.8594,0.9823,1.9279,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
doi,Dogri,Devanagari,54,6775,12342,1.8217,0.462,6.0781,0.0,0.8594,0.8962,2.5112,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
eng,English,Latin,1000,263744,469208,1.779,0.4097,3.381,0.0,1.0,1.1438,2.7773,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
gom,Konkani,Devanagari,1000,225010,667996,2.9687,0.8298,4.8832,0.0,0.8594,1.066,1.9694,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
guj,Gujarati,Gujarati,1000,247691,499285,2.0158,0.5687,7.4938,0.0,0.9341,0.7439,2.4139,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
hin,Hindi,Devanagari,1000,288123,443758,1.5402,0.3379,8.4081,0.0,0.8594,0.7524,2.6631,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
kan,Kannada,Kannada,1000,168714,429945,2.5484,0.718,8.3968,0.0,0.9333,0.8916,2.766,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
kas,Kashmiri,Perso-Arabic,297,59847,122183,2.0416,0.535,4.5164,0.0,0.793,1.0012,2.1097,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
mai,Maithili,Devanagari,1000,246983,513150,2.0777,0.6323,5.9976,0.0,0.8594,0.9046,2.0415,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
mal,Malayalam,Malayalam,1000,136745,423093,3.094,0.8282,8.6296,0.0,0.7542,1.0565,2.8331,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
mar,Marathi,Devanagari,1000,216961,437805,2.0179,0.5964,8.9808,0.0,0.8594,0.7535,2.9213,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
mni,Manipuri,Bengali,1000,242851,858292,3.5342,0.8969,4.5806,0.0,0.8854,1.0489,1.7841,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
nep,Nepali,Devanagari,1000,201427,367531,1.8246,0.4926,9.4324,0.0,0.8594,0.7217,2.9861,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
ori,Odia,Odia,1000,187103,1001587,5.3531,0.9257,3.1584,0.0,0.7033,1.08,1.0115,🔴 Poor,indic_tokenizer_output/indic_bpe_tokenizer.json
pan,Punjabi,Gurmukhi,1000,283018,479522,1.6943,0.4241,7.5657,0.0,0.925,0.6336,2.4113,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
san,Sanskrit,Devanagari,1000,210223,693744,3.3,0.7046,6.6525,0.0,0.8594,0.9004,2.1623,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
sat,Santali,Ol Chiki,110,21156,89997,4.254,0.9262,3.2123,0.0,0.2708,1.2237,2.0427,🔴 Poor,indic_tokenizer_output/indic_bpe_tokenizer.json
snd,Sindhi,Perso-Arabic,1000,315919,805679,2.5503,0.76,3.2003,0.0,0.793,1.1302,1.4476,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
tam,Tamil,Tamil,1000,158190,394660,2.4948,0.7032,9.5882,0.0,0.9444,0.9798,3.166,🟡 Good,indic_tokenizer_output/indic_bpe_tokenizer.json
tel,Telugu,Telugu,1000,179998,462374,2.5688,0.711,8.1551,0.0,0.91,0.8874,2.684,🟠 Marginal,indic_tokenizer_output/indic_bpe_tokenizer.json
urd,Urdu,Perso-Arabic,1000,319560,477148,1.4931,0.3408,5.4007,0.0,0.793,0.8296,2.3888,🟢 Excellent,indic_tokenizer_output/indic_bpe_tokenizer.json
