lang_code,lang_name,script,n_docs,n_words,n_tokens,fertility,continuation_rate,bytes_per_token,unk_rate,vocab_coverage,nsl,avg_token_len,grade,model
asm,Assamese,Assamese,1000,201352,697621,3.4647,0.7491,4.6953,0.0,0.8854,1.0817,1.5655,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
ben,Bengali,Bengali,1000,222386,677869,3.0482,0.5937,5.6359,0.0,0.8854,1.1396,1.804,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
brx,Bodo,Devanagari,1000,180480,723618,4.0094,0.8285,4.4732,0.0,0.8594,1.2838,1.476,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
doi,Dogri,Devanagari,54,6775,16432,2.4254,0.4511,4.5652,0.0,0.8594,1.1932,1.8968,🟡 Good,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
eng,English,Latin,1000,263744,407177,1.5438,0.381,3.8961,0.0,1.0,0.9926,3.2169,🟡 Good,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
gom,Konkani,Devanagari,1000,225010,745443,3.3129,0.8095,4.3759,0.0,0.8594,1.1896,1.7828,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
guj,Gujarati,Gujarati,1000,247691,734784,2.9665,0.5678,5.0921,0.0,0.9341,1.0947,1.6458,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
hin,Hindi,Devanagari,1000,288123,721614,2.5045,0.3365,5.1706,0.0,0.8594,1.2235,1.6399,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
kan,Kannada,Kannada,1000,168714,585020,3.4675,0.7158,6.171,0.0,0.9333,1.2131,2.0404,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
kas,Kashmiri,Perso-Arabic,297,59847,156534,2.6156,0.5216,3.5253,0.0,0.793,1.2826,1.6561,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
mai,Maithili,Devanagari,1000,246983,710795,2.8779,0.6181,4.3299,0.0,0.8594,1.253,1.4789,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
mal,Malayalam,Malayalam,1000,136745,552135,4.0377,0.8273,6.6127,0.0,0.7542,1.3787,2.1775,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
mar,Marathi,Devanagari,1000,216961,643564,2.9663,0.5943,6.1095,0.0,0.8594,1.1077,1.9935,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
mni,Manipuri,Bengali,1000,242851,1016406,4.1853,0.8859,3.868,0.0,0.8854,1.2421,1.4926,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
nep,Nepali,Devanagari,1000,201427,568624,2.823,0.4924,6.0966,0.0,0.8594,1.1166,1.9307,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
ori,Odia,Odia,1000,187103,1187636,6.3475,0.9245,2.6636,0.0,0.7033,1.2806,0.8516,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
pan,Punjabi,Gurmukhi,1000,283018,745904,2.6355,0.422,4.8638,0.0,0.925,0.9856,1.5525,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
san,Sanskrit,Devanagari,1000,210223,889250,4.23,0.7029,5.1899,0.0,0.8594,1.1541,1.6881,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
sat,Santali,Ol Chiki,110,21156,162288,7.671,0.942,1.7814,0.0,0.2708,2.2066,0.95,🔴 Poor,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
snd,Sindhi,Perso-Arabic,1000,315919,1098181,3.4761,0.7586,2.3479,0.0,0.793,1.5405,1.0639,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
tam,Tamil,Tamil,1000,158190,538927,3.4068,0.7006,7.0215,0.0,0.9444,1.338,2.3283,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
tel,Telugu,Telugu,1000,179998,626529,3.4808,0.7084,6.0184,0.0,0.91,1.2025,1.9869,🟠 Marginal,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
urd,Urdu,Perso-Arabic,1000,319560,781548,2.4457,0.3391,3.2972,0.0,0.793,1.3589,1.4591,🟡 Good,/Users/prasanjithpasunuti/Desktop/testing/tokenizer/nemotron_indic_tokenizer/tokenizer.json
